# Результаты планирования роботов
# Makespan (общее время выполнения всех операций, мс):
16.74

# Робот R1, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R1 72
t=7.13ms   x=1.249   y=-0.361   z=0.246
t=7.30ms   x=1.271   y=-0.471   z=0.285
t=7.47ms   x=1.285   y=-0.537   z=0.308
t=7.64ms   x=1.289   y=-0.559   z=0.316
t=8.50ms   x=1.289   y=-0.559   z=0.316

# Робот R3, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R3 72
t=0.00ms   x=2.915   y=-0.129   z=0.000
t=0.14ms   x=2.897   y=-0.138   z=0.000
t=0.27ms   x=2.845   y=-0.167   z=0.000
t=0.41ms   x=2.757   y=-0.214   z=0.000
t=0.55ms   x=2.635   y=-0.280   z=0.000
t=0.68ms   x=2.477   y=-0.364   z=0.000
t=0.82ms   x=2.319   y=-0.449   z=0.000
t=0.96ms   x=2.197   y=-0.515   z=0.000
t=1.09ms   x=2.109   y=-0.562   z=0.000
t=1.23ms   x=2.057   y=-0.591   z=0.000
t=1.37ms   x=2.039   y=-0.600   z=0.000
t=1.82ms   x=2.039   y=-0.600   z=0.000
t=1.82ms   x=2.039   y=-0.600   z=0.000
t=1.94ms   x=2.026   y=-0.590   z=0.002
t=2.07ms   x=1.986   y=-0.559   z=0.006
t=2.19ms   x=1.919   y=-0.507   z=0.014
t=2.32ms   x=1.826   y=-0.436   z=0.026
t=2.45ms   x=1.706   y=-0.343   z=0.040
t=2.57ms   x=1.575   y=-0.242   z=0.056
t=2.70ms   x=1.471   y=-0.162   z=0.068
t=2.82ms   x=1.394   y=-0.102   z=0.077
t=2.95ms   x=1.343   y=-0.063   z=0.084
t=3.08ms   x=1.319   y=-0.044   z=0.086
t=3.53ms   x=1.373   y=-0.086   z=0.080
t=3.53ms   x=1.373   y=-0.086   z=0.080
t=3.73ms   x=1.417   y=-0.087   z=0.078
t=3.93ms   x=1.547   y=-0.091   z=0.073
t=4.13ms   x=1.765   y=-0.098   z=0.064
t=4.34ms   x=2.052   y=-0.107   z=0.052
t=4.54ms   x=2.345   y=-0.116   z=0.040
t=4.74ms   x=2.637   y=-0.126   z=0.028
t=4.94ms   x=2.924   y=-0.135   z=0.016
t=5.14ms   x=3.142   y=-0.142   z=0.007
t=5.35ms   x=3.272   y=-0.146   z=0.002
t=5.55ms   x=3.316   y=-0.147   z=-0.000
t=6.43ms   x=3.316   y=-0.147   z=0.000
t=6.43ms   x=3.316   y=-0.147   z=0.000
t=6.49ms   x=3.318   y=-0.149   z=0.001
t=6.54ms   x=3.325   y=-0.157   z=0.006
t=6.60ms   x=3.335   y=-0.169   z=0.013
t=6.66ms   x=3.351   y=-0.186   z=0.022
t=6.72ms   x=3.370   y=-0.207   z=0.035
t=6.77ms   x=3.419   y=-0.262   z=0.067
t=6.83ms   x=3.463   y=-0.312   z=0.096
t=6.89ms   x=3.504   y=-0.357   z=0.122
t=6.95ms   x=3.540   y=-0.398   z=0.145
t=7.00ms   x=3.571   y=-0.433   z=0.165
t=7.88ms   x=3.424   y=-0.268   z=0.070
t=7.88ms   x=3.424   y=-0.268   z=0.070
t=7.96ms   x=3.424   y=-0.262   z=0.069
t=8.04ms   x=3.423   y=-0.244   z=0.064
t=8.11ms   x=3.422   y=-0.213   z=0.057
t=8.19ms   x=3.421   y=-0.171   z=0.048
t=8.27ms   x=3.420   y=-0.116   z=0.035
t=8.34ms   x=3.416   y=-0.014   z=0.012
t=8.42ms   x=3.414   y=0.076   z=-0.009
t=8.50ms   x=3.412   y=0.154   z=-0.027
t=8.57ms   x=3.410   y=0.219   z=-0.042
t=8.65ms   x=3.408   y=0.273   z=-0.054
t=9.53ms   x=3.415   y=0.036   z=0.000
t=9.53ms   x=3.415   y=0.036   z=0.000
t=9.69ms   x=3.392   y=0.024   z=0.004
t=9.85ms   x=3.322   y=-0.012   z=0.017
t=10.00ms   x=3.206   y=-0.072   z=0.039
t=10.16ms   x=3.043   y=-0.156   z=0.069
t=10.32ms   x=2.845   y=-0.258   z=0.106
t=10.48ms   x=2.646   y=-0.360   z=0.142
t=10.64ms   x=2.483   y=-0.444   z=0.172
t=10.79ms   x=2.367   y=-0.504   z=0.194
t=10.95ms   x=2.297   y=-0.540   z=0.207
t=11.11ms   x=2.274   y=-0.552   z=0.211
t=11.99ms   x=2.274   y=-0.552   z=0.211

# Робот R4, количество точек маршрута = 72
# Формат: t (мс)   X   Y   Z
R4 72
t=0.00ms   x=4.591   y=0.093   z=0.000
t=0.15ms   x=4.564   y=0.078   z=0.000
t=0.31ms   x=4.482   y=0.033   z=0.000
t=0.46ms   x=4.348   y=-0.041   z=0.000
t=0.61ms   x=4.197   y=-0.123   z=0.000
t=0.77ms   x=4.046   y=-0.206   z=0.000
t=0.92ms   x=3.895   y=-0.289   z=0.000
t=1.08ms   x=3.744   y=-0.371   z=0.000
t=1.23ms   x=3.610   y=-0.445   z=0.000
t=1.38ms   x=3.528   y=-0.490   z=0.000
t=1.54ms   x=3.501   y=-0.505   z=0.000
t=1.96ms   x=3.501   y=-0.505   z=0.000
t=1.96ms   x=3.501   y=-0.505   z=0.000
t=2.10ms   x=3.481   y=-0.485   z=0.005
t=2.25ms   x=3.420   y=-0.425   z=0.021
t=2.40ms   x=3.319   y=-0.326   z=0.048
t=2.55ms   x=3.203   y=-0.211   z=0.079
t=2.70ms   x=3.087   y=-0.097   z=0.110
t=2.85ms   x=2.971   y=0.018   z=0.141
t=2.99ms   x=2.855   y=0.133   z=0.172
t=3.14ms   x=2.754   y=0.232   z=0.199
t=3.29ms   x=2.693   y=0.292   z=0.215
t=3.44ms   x=2.673   y=0.312   z=0.220
t=3.86ms   x=2.673   y=0.312   z=0.220
t=3.86ms   x=2.673   y=0.312   z=0.220
t=4.07ms   x=2.729   y=0.299   z=0.213
t=4.28ms   x=2.898   y=0.261   z=0.193
t=4.49ms   x=3.126   y=0.209   z=0.165
t=4.70ms   x=3.354   y=0.158   z=0.138
t=4.91ms   x=3.582   y=0.106   z=0.110
t=5.12ms   x=3.810   y=0.054   z=0.082
t=5.33ms   x=4.038   y=0.003   z=0.055
t=5.54ms   x=4.266   y=-0.049   z=0.027
